Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000
reward_version: v3_frontier_new_bdqn
reward_config:
  reward_version: v3_frontier_new_bdqn
  step_penalty: -0.005
  new_cell_bonus: 0.002
  revisit_penalty: 0.0
  new_observed_cell_bonus: 0.015
  new_observed_cell_bonus_cap: 0.15
  boundary_penalty: -0.2
  idle_stay_penalty: -0.03
  detect_value1_bonus: 0.6
  detect_value2_bonus: 1.5
  track_progress_value1_bonus: 0.2
  track_progress_value2_bonus: 0.6
  complete_value1_bonus: 4.0
  complete_value2_bonus: 12.0
  all_targets_bonus: 5.0

[Best] episode=50 score=-3.304 metrics={'eval_reward': -4.553500000000009, 'eval_detected': 0.7, 'eval_completed': 0.2, 'eval_detected_value': 0.8, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.13775000125169753, 'stay_ratio': 0.8206666666666667, 'boundary_hit_ratio': 0.07933333333333334, 'revisit_ratio': 1.0, 'sensor_revisit_ratio': 0.9166666666666666, 'new_observed_cells_per_step': 0.3606666666666667, 'tracking_progress_ratio': 0.005333333333333333}

[Eval 50] {'eval_reward': -4.553500000000009, 'eval_detected': 0.7, 'eval_completed': 0.2, 'eval_detected_value': 0.8, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.13775000125169753, 'stay_ratio': 0.8206666666666667, 'boundary_hit_ratio': 0.07933333333333334, 'revisit_ratio': 1.0, 'sensor_revisit_ratio': 0.9166666666666666, 'new_observed_cells_per_step': 0.3606666666666667, 'tracking_progress_ratio': 0.005333333333333333}

[Best] episode=100 score=14.092 metrics={'eval_reward': 7.491900000000017, 'eval_detected': 2.1, 'eval_completed': 1.1, 'eval_detected_value': 2.8, 'eval_completed_value': 1.5, 'eval_sensor_coverage': 0.4287499964237213, 'stay_ratio': 0.19733333333333333, 'boundary_hit_ratio': 0.14133333333333334, 'revisit_ratio': 0.9986666666666667, 'sensor_revisit_ratio': 0.7, 'new_observed_cells_per_step': 1.1366666666666667, 'tracking_progress_ratio': 0.026}

[Eval 100] {'eval_reward': 7.491900000000017, 'eval_detected': 2.1, 'eval_completed': 1.1, 'eval_detected_value': 2.8, 'eval_completed_value': 1.5, 'eval_sensor_coverage': 0.4287499964237213, 'stay_ratio': 0.19733333333333333, 'boundary_hit_ratio': 0.14133333333333334, 'revisit_ratio': 0.9986666666666667, 'sensor_revisit_ratio': 0.7, 'new_observed_cells_per_step': 1.1366666666666667, 'tracking_progress_ratio': 0.026}

[Eval 150] {'eval_reward': -0.4624000000000083, 'eval_detected': 1.5, 'eval_completed': 0.6, 'eval_detected_value': 1.9, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.3082499921321869, 'stay_ratio': 0.22866666666666666, 'boundary_hit_ratio': 0.18733333333333332, 'revisit_ratio': 0.9946666666666667, 'sensor_revisit_ratio': 0.7826666666666666, 'new_observed_cells_per_step': 0.8153333333333334, 'tracking_progress_ratio': 0.015333333333333332}

[Eval 200] {'eval_reward': -3.0127000000000015, 'eval_detected': 1.4, 'eval_completed': 0.5, 'eval_detected_value': 1.8, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.284000001847744, 'stay_ratio': 0.33266666666666667, 'boundary_hit_ratio': 0.23866666666666667, 'revisit_ratio': 0.994, 'sensor_revisit_ratio': 0.7986666666666666, 'new_observed_cells_per_step': 0.7506666666666667, 'tracking_progress_ratio': 0.016}
